Liability / Asset,Currency of Issue (all figures in AUD equivalent),Instrument,Maturity,date,value
LIABILITY,AUD,Treasury Notes,40963,2012-01-31,-0.0628468526108892
LIABILITY,AUD,Treasury Notes,40977,2011-10-31,-0.350226993840387
LIABILITY,AUD,Treasury Notes,40977,2011-11-30,-0.268649759408829
LIABILITY,AUD,Treasury Notes,40977,2011-12-31,-0.187602286378412
LIABILITY,AUD,Treasury Notes,40977,2012-01-31,-0.10095601114014
LIABILITY,AUD,Treasury Notes,40977,2012-02-29,-0.0219003300520536
LIABILITY,AUD,Treasury Notes,41026,2011-12-31,-0.320359764998326
LIABILITY,AUD,Treasury Notes,41026,2012-01-31,-0.233464566283836
LIABILITY,AUD,Treasury Notes,41026,2012-02-29,-0.155144836499617
LIABILITY,AUD,Treasury Notes,41026,2012-03-31,-0.073748204018456
LIABILITY,AUD,Treasury Notes,41040,2012-02-29,-0.192955606605044
LIABILITY,AUD,Treasury Notes,41040,2012-03-31,-0.111803114058438
LIABILITY,AUD,Treasury Notes,41040,2012-04-30,-0.0273678527280488
LIABILITY,AUD,Treasury Notes,41068,2012-02-29,-0.268590745019867
LIABILITY,AUD,Treasury Notes,41068,2012-03-31,-0.187597004276647
LIABILITY,AUD,Treasury Notes,41068,2012-04-30,-0.103690747020686
LIABILITY,AUD,Treasury Notes,41068,2012-05-31,-0.0191644049780627
LIABILITY,AUD,Treasury Notes,41117,2012-03-31,-0.320212644479707
LIABILITY,AUD,Treasury Notes,41117,2012-04-30,-0.236227665680714
LIABILITY,AUD,Treasury Notes,41117,2012-05-31,-0.152667447947993
LIABILITY,AUD,Treasury Notes,41117,2012-06-30,-0.0710571682173319
LIABILITY,AUD,Treasury Notes,41131,2012-04-30,-0.274195064100444
LIABILITY,AUD,Treasury Notes,41131,2012-05-31,-0.254151465181989
